response_id,sentiment_score,word_count,Ppron,Inhib,Space,Filler,Ipron,Time,Humans,SheHe,Percept,Verbs,Quant,Body,Relativ,Nonflu,AuxVb,Cause,Sexual,Relig,Bio,Tentat,Incl,Leisure,Prep,Health,I,Hear,They,Posemo,Affect,Excl,Discrep,Present,CogMech,Death,Work,We,Ingest,Motion,Negate,Achiev,Swear,Social,Friends,Family,Pronoun,Funct,Feel,Money,Insight,Assent,Sad,Past,See,Future,Adverbs,Numbers,Certain,Anger,Home,Conj,Anx,Negemo,You,Article
25,3.3805764892280843,10,2.0,0.0,3.0,0.0,1.375,1.875,0.125,0.0,0.5,2.875,0.75,0.125,5.875,0.5,2.125,1.125,0.0,0.0,0.375,0.5,1.0,0.5,5.125,0.25,0.25,0.125,1.25,1.125,1.125,0.375,0.5,1.5,4.75,0.0,2.625,0.5,0.0,1.25,0.125,0.875,0.0,3.5,0.0,0.0,3.375,17.75,0.25,0.375,1.125,0.0,0.0,0.625,0.375,0.5,2.0,0.625,0.375,0.0,0.0,1.125,0.0,0.0,0.0,3.5
26,2.7081481512816703,9,3.4,0.0,5.0,0.0,2.2,3.0,0.2,0.0,0.8,4.6,1.2,0.2,9.6,0.8,3.4,1.8,0.0,0.0,0.6,0.8,1.6,0.8,8.6,0.4,0.4,0.2,2.0,1.8,1.8,0.6,0.8,2.4,7.6,0.0,4.4,1.0,0.0,2.0,0.2,1.6,0.0,5.8,0.0,0.0,5.6,29.0,0.4,0.6,1.8,0.0,0.0,1.0,0.6,0.8,3.2,1.0,0.6,0.0,0.0,1.8,0.0,0.0,0.0,5.6
27,2.431626158841322,9,2.4285714285714284,0.0,3.7142857142857144,0.0,1.7142857142857142,2.2857142857142856,0.14285714285714285,0.0,0.5714285714285714,3.2857142857142856,0.8571428571428571,0.14285714285714285,7.142857142857143,0.5714285714285714,2.4285714285714284,1.2857142857142858,0.0,0.0,0.42857142857142855,0.5714285714285714,1.2857142857142858,0.7142857142857143,6.428571428571429,0.2857142857142857,0.2857142857142857,0.14285714285714285,1.4285714285714286,1.2857142857142858,1.2857142857142858,0.42857142857142855,0.5714285714285714,1.7142857142857142,5.571428571428571,0.0,3.2857142857142856,0.7142857142857143,0.0,1.4285714285714286,0.14285714285714285,1.2857142857142858,0.0,4.428571428571429,0.0,0.0,4.142857142857143,21.428571428571427,0.2857142857142857,0.42857142857142855,1.2857142857142858,0.0,0.0,0.7142857142857143,0.42857142857142855,0.5714285714285714,2.2857142857142856,0.7142857142857143,0.42857142857142855,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,4.142857142857143
28,1.049899883956452,5,8.5,0.0,13.0,0.0,6.5,8.0,0.5,0.0,2.0,11.5,3.0,0.5,25.0,2.0,8.5,4.5,0.0,0.0,1.5,2.0,4.5,2.5,23.0,1.0,1.0,0.5,5.0,4.5,4.5,1.5,2.0,6.0,19.5,0.0,11.5,2.5,0.0,5.0,0.5,4.5,0.0,15.5,0.0,0.0,15.0,76.0,1.0,1.5,4.5,0.0,0.0,2.5,1.5,2.0,8.0,2.5,1.5,0.0,0.0,5.0,0.0,0.0,0.0,14.5
29,-0.4889640303030502,5,8.5,0.0,13.5,0.0,6.5,8.0,0.5,0.0,2.5,11.5,3.0,0.5,25.5,2.0,8.5,4.5,0.0,0.0,1.5,2.0,4.5,2.5,23.5,1.0,1.0,1.0,5.0,4.5,4.5,1.5,2.0,6.0,19.5,0.0,11.5,2.5,0.0,5.0,0.5,4.5,0.0,15.5,0.0,0.0,15.0,76.5,1.0,1.5,4.5,0.0,0.0,2.5,1.5,2.0,8.0,2.5,1.5,0.0,0.0,5.0,0.0,0.0,0.0,14.5
30,1.5924009381138315,10,2.0,0.0,3.111111111111111,0.0,1.4444444444444444,1.7777777777777777,0.1111111111111111,0.0,0.5555555555555556,2.6666666666666665,0.7777777777777778,0.1111111111111111,5.777777777777778,0.4444444444444444,2.0,1.0,0.0,0.0,0.3333333333333333,0.5555555555555556,1.0,0.5555555555555556,5.555555555555555,0.2222222222222222,0.3333333333333333,0.2222222222222222,1.1111111111111112,1.0,1.0,0.3333333333333333,0.4444444444444444,1.4444444444444444,4.444444444444445,0.0,2.5555555555555554,0.5555555555555556,0.0,1.1111111111111112,0.1111111111111111,1.1111111111111112,0.0,3.5555555555555554,0.0,0.0,3.4444444444444446,17.77777777777778,0.2222222222222222,0.3333333333333333,1.0,0.0,0.0,0.5555555555555556,0.3333333333333333,0.4444444444444444,1.7777777777777777,0.5555555555555556,0.3333333333333333,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,3.3333333333333335
31,6.638264534662532,14,1.8181818181818181,0.0,2.5454545454545454,0.0,1.2727272727272727,1.6363636363636365,0.09090909090909091,0.0,0.45454545454545453,2.272727272727273,0.6363636363636364,0.09090909090909091,4.909090909090909,0.36363636363636365,1.7272727272727273,0.8181818181818182,0.0,0.0,0.2727272727272727,0.45454545454545453,0.9090909090909091,0.45454545454545453,4.636363636363637,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.9090909090909091,1.0,1.0,0.36363636363636365,0.36363636363636365,1.1818181818181819,3.909090909090909,0.0,2.090909090909091,0.45454545454545453,0.0,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.0,3.090909090909091,0.0,0.0,3.090909090909091,15.090909090909092,0.18181818181818182,0.36363636363636365,0.8181818181818182,0.0,0.0,0.5454545454545454,0.2727272727272727,0.36363636363636365,1.5454545454545454,0.45454545454545453,0.2727272727272727,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,2.8181818181818183
32,7.9655700983762046,13,1.8181818181818181,0.0,2.6363636363636362,0.0,1.2727272727272727,1.6363636363636365,0.18181818181818182,0.0,0.45454545454545453,2.3636363636363638,0.7272727272727273,0.09090909090909091,5.0,0.45454545454545453,1.8181818181818181,0.8181818181818182,0.0,0.0,0.2727272727272727,0.45454545454545453,0.9090909090909091,0.45454545454545453,4.818181818181818,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.9090909090909091,1.0909090909090908,1.0909090909090908,0.36363636363636365,0.36363636363636365,1.1818181818181819,4.0,0.0,2.1818181818181817,0.45454545454545453,0.0,0.9090909090909091,0.09090909090909091,0.9090909090909091,0.0,3.1818181818181817,0.0,0.0,3.090909090909091,15.727272727272727,0.18181818181818182,0.36363636363636365,0.9090909090909091,0.0,0.0,0.6363636363636364,0.2727272727272727,0.36363636363636365,1.6363636363636365,0.45454545454545453,0.2727272727272727,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,3.0
33,4.745162837052669,29,0.88,0.0,1.24,0.0,0.68,0.76,0.08,0.0,0.24,1.28,0.32,0.04,2.36,0.2,0.92,0.52,0.0,0.0,0.12,0.28,0.44,0.24,2.2,0.08,0.2,0.08,0.4,0.64,0.64,0.2,0.2,0.68,2.04,0.0,1.04,0.28,0.0,0.4,0.04,0.52,0.0,1.52,0.0,0.0,1.56,7.52,0.08,0.16,0.4,0.0,0.0,0.36,0.16,0.16,0.8,0.2,0.12,0.0,0.0,0.48,0.0,0.0,0.0,1.4
34,0.9445625523419724,2,22.0,0.0,31.0,0.0,17.0,19.0,2.0,0.0,6.0,32.0,8.0,1.0,59.0,5.0,23.0,13.0,0.0,0.0,3.0,7.0,11.0,6.0,55.0,2.0,5.0,2.0,10.0,16.0,16.0,5.0,5.0,17.0,51.0,0.0,27.0,7.0,0.0,10.0,1.0,13.0,0.0,38.0,0.0,0.0,39.0,188.0,2.0,4.0,10.0,0.0,0.0,9.0,4.0,4.0,20.0,5.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,35.0
